name,float,purchase price,sell price,gross income,net income,total income
c5提现,,0,0,0,-367,-367
buff提现,,0,0,0,-19,-386
悠悠提现,,0,0,0,-2571,-2957
系绳匕首-枯焦之色,破损不堪,560,585,570,10,-2947
改名卡,,10.1,0,-10.1,-20.2,-2967.2
p90-阿西莫夫,战痕累累,27.99,28,27.3,-0.69,-2967.89
aug-动量,战痕累累,12.78,13.6,13.6,0.82,-2967.07
sg553-次世代,破损不堪,44,46.3,45.14,1.14,-2965.93
加利尔-迷人眼,破损不堪,16.17,20.6,20.6,4.43,-2961.5
法玛斯-防滚架,久经沙场,13,11.8,11.8,-1.2,-2962.7
ak47-夜愿,久经沙场,65,62,60.45,-4.55,-2967.25
m4a1-印花集,战痕累累,690,655,655,-35,-3002.25
弯刀-自由之手,久经沙场,908,900,877,-31,-3033.25
sg553-暗翼,略有磨损,10.08,9.5,9.5,-0.58,-3033.83
沙漠之鹰-沙漠之狐,久经沙场,1129,1095,1095,-34,-3067.83
印花-莲花,,31.3,31.3,31.3,0,-3067.83
p90-喵之萌杀,久经沙场,187.9,194,194,6.1,-3061.73
格洛克-摩登时代,久经沙场,38.88,38.88,38.88,0,-3061.73
爪子刀-大马士革钢,久经沙场,5030,5148,5148,118,-2943.73
沙漠之鹰-沙漠之狐,久经沙场,1090,1090,1090,0,-2943.73
m4a1-印花集,久经沙场,1059.5,1080,1080,20.5,-2923.23
专业手套-渐变之色,破损不堪,1658.5,1630,1630,-28.5,-2951.73
p90-阿西莫夫,战痕累累,22.7,31.5,31.5,8.8,-2942.93
蝴蝶刀-传说,战痕累累,5440,5425,5425,-15,-2957.93
沙漠之鹰-沙漠之狐,久经沙场 ,1060,1032,1032,-28,-2985.93
沙漠之鹰-沙漠之狐,久经沙场,1050,1036,1036,-14,-2999.93
沙漠之鹰-沙漠之狐,久经沙场,1020,1085,1057.87,37.87,-2962.06
蝴蝶刀-传说,战痕累累,5570,5582,5582,12,-2950.06
沙漠之鹰-沙漠之狐,略有磨损,1530,1580,1580,50,-2900.06
专业手套-陆军少尉长官,久经沙场,1075,1135,1106.62,31.62,-2868.44
蝴蝶刀-传说,破损不堪,6456,6550,6550,94,-2774.44
m4a4-反冲精英,久经沙场,80.59,72,72,-8.59,-2783.03
蝴蝶刀-传说,战痕累累,5420,5550,5550,130,-2653.03
蝴蝶刀-传说,战痕累累,5400,5535,5535,135,-2518.03
蝴蝶刀-传说,久经沙场,8350,8460,8375.4,25.4,-2492.63
m4a1-伊卡洛斯陨落,略有磨损,3245,3255,3255,10,-2482.63
爪子刀-大马士革钢,久经沙场,5130,5215,5215,85,-2397.63
蝴蝶刀-渐变大理石,崭新出厂,14339.5,14280,14280,-59.5,-2457.13
蝴蝶刀-渐变大理石,崭新出厂,14020,14450,14305.5,285.5,-2171.63
新星-暴怒野兽,久经沙场,98,100,100,2,-2169.63
短剑-渐变大理石,崭新出厂,3620,3645,3608.55,-11.45,-2181.08
m4a1-印花集(st),崭新出厂,5889.5,5910,5910,20.5,-2160.58
专业手套-渐变大理石,久经沙场,2849.5,2925,2925,75.5,-2085.08
运动手套-超导体,破损不堪,12088,12710,12710,622,-1463.08
mac-10-表面淬火,战痕累累,160,180.34,171,11,-1452.08
mp9-星使,崭新出厂,96.3,98,98,1.7,-1450.38
awp-九头金蛇,战痕累累,8210,8350,8350,140,-1310.38
沙漠之鹰-沙漠之狐,崭新出厂,2478.5,2560,2496,17.5,-1292.88
沙漠之鹰-沙漠之狐,久经沙场,1110,1131,1108,-2,-1294.88
驾驶手套-王蛇,略有磨损,8150,8060,8060,-90,-1384.88
cz75-相柳,崭新出厂,300,329,322.42,22.42,-1362.46
沙漠之鹰-沙漠之狐,久经沙场,1080,1110,1110,30,-1332.46
摩托手套-清凉薄荷,略有磨损,4860,5070,5070,210,-1122.46
沙漠之鹰-沙漠之狐,崭新出厂,2730,2800,2800,70,-1052.46
专业手套-渐变之色,略有磨损,6700,6890,6890,190,-862.46
沙漠之鹰-沙漠之狐,崭新出厂,2740,2800,2800,60,-802.46
摩托手套-薄荷,破损不堪,8920,9030,9030,110,-692.46
沙漠之鹰-沙漠之狐,战痕累累,825,835,825,0,-692.46
沙漠之鹰-沙漠之狐,崭新出厂,2390,2468,2468,78,-614.46
沙漠之鹰-沙漠之狐,崭新出厂,2500,2566,2514.68,14.68,-599.78
挂件-金属awp,,45,,,-45,-644.78
tec9-燃料喷射器,久经沙场,25.2,29.2,29.2,4,-640.78
cz75-维多利亚,崭新出厂,59.8,66.28,64.9544,5.15,-635.63
蝴蝶刀-自动化,战痕累累,7460,7585,7585,125,-510.63
mp9-黑暗时代,崭新出厂,95.14,99,99,3.86,-506.77
蝴蝶刀-自动化,久经沙场 ,9900,10030,9929.7,29.7,-477.07
弯刀-自由之手,崭新出厂,1990,4000,3920,1930,1452.93
裹手-套印,久经沙场,1378.88,1414,1414,35.12,1488.05
沙漠之鹰-沙漠之狐,崭新出厂,2490,2585,2520.37,30.37,1518.42
弯刀-绿宝石,崭新出厂,6700,6780,6780,80,1598.42
法玛斯-雅典娜之眼,久经沙场 ,34.66,38,37.62,2.96,1601.38
暗影双匕-黑色层压板,崭新出厂,1300,1600,1568,268,1869.38
沙漠之鹰-沙漠之狐,略有磨损,1580,1640,1624,44,1913.38
法玛斯-雅典娜之眼,久经沙场,32.7,34.2,34.2,1.5,1914.88
折刀-枯焦之色,崭新出厂,1388,1574,1542.52,154.52,2069.4
短剑-枯焦之色,崭新出厂,2840,3500,3465,625,2694.4
摩托手套-boom,崭新出厂,5300,6017,5896.66,596.66,3291.06
m4a4-反冲精英,久经沙场,90,90.24,88.4352,-1.56,3289.5
蝴蝶刀-自动化,战痕累累,7350,7595,7595,245,3534.5
摩托手套-boom,崭新出厂,5750,6532,6401.36,651.36,4185.86
摩托手套-boom,破损不堪,1010,1140,1117.2,107.2,4293.06
摩托手套-玳瑁,久经沙场,795,797,797,2,4295.06
ak47-夜愿,崭新出厂,407.5,418,408.5,1,4296.06
沙漠之鹰-印花集,久经沙场,211,211,211,0,4296.06
awp-镀铬大炮,战痕累累,175,180,175.5,0.5,4296.56
弯刀-渐变大理石,崭新出厂,1840,1890,1890,50,4346.56
专业手套-渐变大理石,久经沙场,1785,1775,1775,-10,4336.56
沙漠之鹰-沙漠之狐,略有磨损,1560,1670,1628.25,68.25,4404.81
名称标签,,9.38,0,0,-9.38,4395.43
名称标签,,9.38,0,0,-9.38,4386.05
m4a1-黑莲花,战痕累累,83,83,83,0,4386.05
名称标签,,9.64,0,0,-9.64,4376.41
印花-凝视之眼,,180,180,180,0,4376.41
弯刀-伽玛多普勒,崭新出厂,2610,2640,2640,30,4406.41
丛林反抗者-精锐分子,,64.4,125,123.75,59.35,4465.76
第三特种兵连-德国特种部队突击队,,43,66,65.34,22.34,4488.1
裹手-套印,久经沙场,1400,1415,1415,15,4503.1
awp-迷人眼,久经沙场,38.36,40,40,1.64,4504.74
弯刀-多普勒,崭新出厂,2680,2812.14,2812.14,132.14,4636.88
名称标签,,9.67,0,0,-9.67,4627.21
摩托手套-日蚀,久经沙场,1028.5,1020,1020,-8.5,4618.71
m4a1-印花集,久经沙场,1082,1080,1080,-2,4616.71
蝴蝶刀-传说,战痕累累,5350,5465,5465,115,4731.71
mp7-渐变之色,崭新出厂,400,400,400,0,4731.71
专业手套-陆军少尉长官,久经沙场,1097.5,1115,1115,17.5,4749.21
专业手套-陆军少尉长官,久经沙场,1095,1110,1110,15,4764.21
双持贝瑞塔-决斗家,崭新出厂,870,930,930,60,4824.21
沙漠之鹰-沙漠之狐,久经沙场,1050,1070,1070,20,4844.21
cz75-相柳,崭新出厂,75,95.6,95.6,20.6,4864.81
运动手套-欧米伽,久经沙场,2836.5,2910,2837.25,0.75,4865.56
沙漠之鹰-沙漠之狐,崭新出厂,2530,2570,2570,40,4905.56
p90-喵之萌杀,略有磨损,295,295,295,0,4905.56
fn57-怒氓,久经沙场,16.66,15.9,15.9,-0.76,4904.8
宙斯电击枪-奥林匹斯,战痕累累,93.3,93.3,93.3,0,4904.8
运动手套-欧米伽,久经沙场,2820,2822,2822,2,4906.8
沙漠之鹰-沙漠之狐,崭新出厂,3440,3700,3663,223,5129.8
p90-喵之萌杀,略有磨损,286,309.42,309.42,23.42,5153.22
蝴蝶刀-传说,战痕累累,5910,5920,5920,10,5163.22
运动手套-欧米伽,久经沙场 ,2820,2870,2798,-22,5141.22
弯刀-渐变大理石,崭新出厂,3500,5364.04,5256.7592,1756.76,6897.98
沙漠之鹰-沙漠之狐,崭新出厂,2630,2610,2610,-20,6877.98
专业手套-渐变大理石,久经沙场,1744,1760,1760,16,6893.98
专业手套-渐变大理石,略有磨损,5280,5295,5295,15,6908.98
沙漠之鹰-沙漠之狐,崭新出厂,2490,2490,2465.1,-24.9,6884.08
沙漠之鹰-沙漠之狐,崭新出厂,2516.5,2580,2515.5,-1,6883.08
沙漠之鹰-沙漠之狐,崭新出厂,2527,2515,2515,-12,6871.08
专业手套-渐变大理石,久经沙场,3010,3100,3022.5,12.5,6883.58
沙漠之鹰-沙漠之狐,崭新出厂,3300,3368,3368,68,6951.58
名称标签,,9.04,0,0,-9.04,6942.54
法玛斯-奈芙蒂斯之河,崭新出厂,471,497.95,487.991,16.99,6959.53
加利尔-彩虹勺,崭新出厂,500,530,516.75,16.75,6976.28
sg553-电子脉冲(st),略有磨损,59.9,72,72,12.1,6988.38
双持贝瑞塔-毒蛇袭击,崭新出厂,340,322,322,-18,6970.38
tec9-屠杀者,久经沙场,73.02,80.12,78.5176,5.5,6975.88
fn57-童话城堡,久经沙场,138,140,140,2,6977.88
内格夫-动力装载机,崭新出厂,39.35,45,45,5.65,6983.53
ump45-黑色魅影,久经沙场 ,70,48,48,-22,6961.53
短剑-渐变大理石,崭新出厂,3535,3535,3535,0,6961.53
专业手套-渐变大理石,久经沙场,2840,2930,2856.75,16.75,6978.28
短剑-渐变大理石,崭新出厂,3560,3560,3560,0,6978.28
沙漠之鹰-沙漠之狐,崭新出厂,3200,3240,3240,40,7018.28
新星-晶红石英,崭新出厂,44.78,47.6,47.6,2.82,7021.1
专业手套-渐变大理石,久经沙场,2850,2865,2865,15,7036.1
cz75-维多利亚,崭新出厂,56,55,55,-1,7035.1
加利尔-凤凰冥灯,崭新出厂,490,550,536.25,46.25,7081.35
尼泊尔-表面淬火,久经沙场,1838.93,1820,1774,-64.93,7016.42
awp-野火,久经沙场,353,362,362,9,7025.42
沙漠之鹰-沙漠之狐,崭新出厂,2611,2680,2653.2,42.2,7067.62
尼泊尔-表面淬火,破损不堪,2700,2600,2600,-100,6967.62
名称标签,,9.01,0,0,-9.01,6958.61
沙漠之鹰-沙漠之狐,崭新出厂,3170,3205,3205,35,6993.61
摩托手套-薄荷,战痕累累,5000,5534.4,5257.68,257.68,7251.29
专业手套-渐变大理石,久经沙场,2835,2880,2880,45,7296.29
m4a1-印花集,崭新出厂,3370.9,3375,3375,4.1,7300.39
双持贝瑞塔-血红蛋白,崭新出厂,52.99,55,55,2.01,7302.4
awp-黑色魅影,崭新出厂,202,205,205,3,7305.4
尼泊尔-表面淬火,略有磨损,4600,4000,3900,-700,6605.4
r8-渐变之色,久经沙场,46,46.9,46.9,0.9,6606.3
法玛斯-奈芙蒂斯之河,崭新出厂,464.98,494.46,484.5708,19.59,6625.89
沙漠之鹰-沙漠之狐,崭新出厂,2610,2629,2629,19,6644.89
sg553-电子脉冲,略有磨损,39.1,39,39,-0.1,6644.79
awp-镀铬大炮,久经沙场,330,315,315,-15,6629.79
沙漠之鹰-沙漠之狐,崭新出厂,2458,2459,2459,1,6630.79
沙漠之鹰-沙漠之狐,久经沙场,1095,1102,1102,7,6637.79
名称标签,,9.46,0,0,-9.46,6628.33
沙漠之鹰-沙漠之狐,久经沙场,1299,1310,1310,11,6639.33
tec9-屠杀者,久经沙场,73.02,80.12,78.5176,5.5,6644.83
沙漠之鹰-沙漠之狐,崭新出厂,2480,2469,2469,-11,6633.83
mp9-星使,略有磨损,40.6,40.3,40.3,-0.3,6633.53
摩托手套-薄荷,久经沙场,14160,14100,13747,-413,6220.53
尼泊尔-表面淬火,久经沙场,7050,7200,7200,150,6370.53
名称标签,,9.3,0,0,-9.3,6361.23
沙漠之鹰-沙漠之狐,久经沙场,1082.13,1132.52,1109.8794,27.75,6388.98
摩托手套-清凉薄荷,久经沙场,2640,2650,2623.5,-16.5,6372.48
沙漠之鹰-沙漠之狐,久经沙场,1125.28,1134,1132,6.72,6379.2
沙漠之鹰-沙漠之狐,崭新出厂,2550,2610,2610,60,6439.2
摩托手套-薄荷,战痕累累,2960,3040,2964,4,6443.2
沙漠之鹰-沙漠之狐,崭新出厂,2370,2400,2400,30,6473.2
沙漠之鹰-炽烈之炎,崭新出厂,3900,3900,3900,0,6473.2
沙漠之鹰-沙漠之狐,久经沙场,1080,1120,1120,40,6513.2
mp9-星使,久经沙场,17.9,19.1,19.1,1.2,6514.4
mac-10-潜行者,久经沙场,71.9,78,78,6.1,6520.5
名称标签,,9.44,0,0,-9.44,6511.06
沙漠之鹰-沙漠之狐,崭新出厂,2390,2440,2440,50,6561.06
沙漠之鹰-沙漠之狐,略有磨损,1573,1585,1585,12,6573.06
加利尔-彩虹勺,崭新出厂,439,465,465,26,6599.06
fn57-表面淬火,久经沙场,68,68,68,0,6599.06
p90-喵之萌杀,久经沙场,194,210,210,16,6615.06
法玛斯-奈芙蒂斯之河,崭新出厂,466,473,473,7,6622.06
p250-震中,崭新出厂,123,135,135,12,6634.06
awp-九头金蛇,战痕累累,8118,8431,8262.38,144.38,6778.44
沙漠之鹰-沙漠之狐,久经沙场,1100,1158,1134.84,34.84,6813.28
摩托手套-清凉薄荷,久经沙场,3650,3720,3682.8,32.8,6846.08
法玛斯-奈芙蒂斯之河,崭新出厂,465,530,530,65,6911.08
加利尔-彩虹勺,崭新出厂,455,477,477,22,6933.08
awp-九头金蛇,久经沙场,10245,10654,10654,409,7342.08
p250-阿佩普之咒,崭新出厂,420,435,424.12,4.12,7346.2
挂件-k金t,,264,270.57,264.6,0.6,7346.8
沙漠之鹰-沙漠之狐,崭新出厂,2500,2525,2525,25,7371.8
fn57-怒氓,久经沙场,19.27,20.8,20.8,1.53,7373.33
沙漠之鹰-沙漠之狐,崭新出厂,3199,3510,3545,346,7719.33
印花-落日海洋*5,,165,0,0,-165,7554.33
名称标签,,10.22,0,0,-10.22,7544.11
专业手套-渐变大理石,略有磨损,5180,5180,5231.8,51.8,7595.91
