name,float,purchase price,sell price,gross income,net income,total income
加利尔-彩虹勺,久经沙场 ,324,320,320,-4,7591.91
awp-镀铬大炮,久经沙场,298.4,285,285,-13.4,7578.51
刺刀-渐变大理石,崭新出厂,4080,4170,4065.75,-14.25,7564.26
专业手套-渐变之色,久经沙场,4170,4250,4207.5,37.5,7601.76
专业手套-深红之网,久经沙场,1670,1680,1680,10,7611.76
p250-震中,久经沙场,49.8,54,54,4.2,7615.96
m4a4-皇家圣骑士,崭新出厂,495,489,489,-6,7609.96
名称标签,,10.5,0,0,-10.5,7599.46
专业手套-渐变之色,略有磨损,7006.2,7193,7193,186.8,7786.26
挂件-k金t,,233.3,231,231,-2.3,7783.96
专业手套-深红之网,久经沙场,2440,2530,2466.75,26.75,7810.71
摩托手套-日蚀,久经沙场,1042,1075,1075,33,7843.71
名称标签,,10.9,0,0,-10.9,7832.81
蝴蝶刀-自动化,略有磨损,11830,12120,12120,290,8122.81
mp9-星使,久经沙场,19.2,21.4,21.4,2.2,8125.01
p250-震中,崭新出厂,121,120,120,-1,8124.01
m4a4-合纵,久经沙场,150,246,246,96,8220.01
加利尔-迷人眼,久经沙场,14.9,18,18,3.1,8223.11
名称标签,,11.8,0,0,-11.8,8211.31
cz75-复古圣杯,崭新出厂,585,620,620,35,8246.31
弯刀-红宝石(st),崭新出厂,6450,6846,6709.08,259.08,8505.39
mac-10-渐变迪斯科,久经沙场,15.84,15.84,15.84,0,8505.39
名称标签,,12.9,0,0,-12.9,8492.49
沙漠之鹰-沙漠之狐,略有磨损,1620,1670,1686,66,8558.49
名称标签,,13.6,0,0,-13.6,8544.89
cz75-维多利亚,崭新出厂,69.88,88,88,18.12,8563.01
双持贝瑞塔-血红蛋白,崭新出厂,62.7,64,64,1.3,8564.31
名称标签,,11.09,0,0,-11.09,8553.22
名称标签,,11.06,0,0,-11.06,8542.16
名称标签,,11.1,0,0,-11.1,8531.06
摩托手套-清凉薄荷,久经沙场,2612.91,2720,2692.8,79.89,8610.95
m4a4-荷鲁斯之眼,久经沙场,1153.97,1190,1190,36.03,8646.98
摩托手套-多边形,久经沙场,1157,1220,1220,63,8709.98
usp-猎户,崭新出厂,393,409,409,16,8725.98
usp-疯狂蔓延,略有磨损,170.41,178,178,7.59,8733.57
摩托手套-第三特种兵连,久经沙场,647.26,674,674,26.74,8760.31
awp-红线,略有磨损,501,542,542,41,8801.31
挂件-烤肠酱,,131,134,134,3,8804.31
海豹短刀-渐变之色,崭新出厂,3761,3860,3860,99,8903.31
摩托手套-清凉薄荷,久经沙场,2638,2695,2695,57,8960.31
ak47-表面淬火,久经沙场,1496,1560,1560,64,9024.31
usp-猎户,崭新出厂,400,409,409,9,9033.31
印花-titan 2014,,283,306.5,306.5,23.5,9056.81
法玛斯-奈芙蒂斯之河,久经沙场,172,251,245.98,73.98,9130.79
九头蛇手套-表面淬火,久经沙场,714,753,753,39,9169.79
尼泊尔-原皮,,2457,2555,2491,34,9203.79
p250-震中,久经沙场,49.23,50,50,0.77,9204.56
p250-震中,久经沙场,49.16,50,50,0.84,9205.4
挂件-k金t,,262,300,297,35,9240.4
awp-精英之作,略有磨损,244,255,255,11,9251.4
沙漠之鹰-沙漠之狐,崭新出厂,3261,3330,3330,69,9320.4
awp-镀铬大炮,崭新出厂,861,895.5,895.5,34.5,9354.9
挂件-k金t,,268,285,282,14,9368.9
挂件-k金ct,,134,140,138,4,9372.9
挂件-k金ct,,129,140,138,9,9381.9
印花-niko 2024(gold),,364,372.5,372.5,8.5,9390.4
印花-magixx 2024(gold),,61.9,59.5,59.5,-2.4,9388
印花-zywoo 2024(gold),,206,205,205,-1,9387
awp-镀铬大炮,久经沙场,275,285,285,10,9397
专业手套-深红之网,久经沙场,1693,1780,1762,69,9466
g3sg1-克洛诺斯,崭新出厂,1575,1660,1660,85,9551
沙漠之鹰-纵横波涛(st),略有磨损,662,708,708,46,9597
awp-渐变之色,崭新出厂,6080,6219,6219,139,9736
m4a4-荷鲁斯之眼,久经沙场,1438,1454,1424.92,-13.08,9722.92
挂件-k金t,,276,300,297,21,9743.92
挂件-k金ct,,136,141,139,3,9746.92
沙漠之鹰-沙漠之狐,略有磨损,1598,1675,1675,77,9823.92
g3sg1-克洛诺斯,崭新出厂,1598,1660,1660,62,9885.92
骷髅匕首-渐变之色,崭新出厂,9363,9320,9413,50,9935.92
挂件-k金t,,131.9,146,144.54,12.64,9948.56
m4a4-荷鲁斯之眼,久经沙场,1360,1465,1465,105,10053.56
尼泊尔-人工染色,久经沙场,1350,1420,1420,70,10123.56
海豹短刀-渐变之色,崭新出厂,3842,4000,3960,118,10241.56
awp-镀铬大炮,久经沙场,283,285,285,2,10243.56
m4a4-破晓,崭新出厂,2179,2260,2260,81,10324.56
摩托手套-清凉薄荷,破损不堪,2205,2440,2415.6,210.6,10535.16
awp-九头金蛇,战痕累累,8185,8200,8280,95,10630.16
p250-震中,久经沙场,48.7,55,55,6.3,10636.46
挂件-k金ct,,131.2,143,143,11.8,10648.26
摩托手套-清凉薄荷,略有磨损,5856,6140,6140,284,10932.26
m4a4-荷鲁斯之眼,久经沙场,1393.5,1430,1430,36.5,10968.76
awp-镀铬大炮,久经沙场,284,287,287,3,10971.76
摩托手套-清凉薄荷,战痕累累,1335,1410,1410,75,11046.76
摩托手套-清凉薄荷,破损不堪,2330,2400,2400,70,11116.76
封装的涂鸦-咆哮黎明,,29,35,35,6,11122.76
m4a4-合纵,略有磨损,510,545,545,35,11157.76
p2000-银质,崭新出厂,235,249,249,14,11171.76
挂件-k金t,,255,320,320,65,11236.76
摩托手套-清凉薄荷,破损不堪,2378,2450,2450,72,11308.76
摩托手套-清凉薄荷,久经沙场,3100,3460,3494,394,11702.76
蝴蝶刀-表面淬火,久经沙场,8300,8996,8816.08,516.08,12218.84
弯刀-表面淬火,久经沙场,3690,3987,3907.26,217.26,12436.1
裹手-套印,略有磨损,2363,2355,2355,-8,12428.1
尼泊尔-渐变之色,崭新出厂,4405,4399,4399,-6,12422.1
沙漠之鹰-沙漠之狐,略有磨损,2247,2250,2250,3,12425.1
挂件-k金t,,271,305,305,34,12459.1
沙漠之鹰-沙漠之狐,崭新出厂,3006,3590.84,3518.2,512.2,12971.3
印花-somebody(金色）2024,,519,590,584,65,13036.3
p250-阿佩普之咒,崭新出厂,630,750,742.5,112.5,13148.8
沙漠之鹰-沙漠之狐,崭新出厂,2560,2630,2630,70,13218.8
蝴蝶刀-表面淬火,破损不堪,7510,8046,7885.08,375.08,13593.88
摩托手套-清凉薄荷,战痕累累,1470,1492,1460,-10,13583.88
尼泊尔-表面淬火,久经沙场,2134,2402,2353.96,219.96,13803.84
挂件-k金ct,,141.77,139,139,-2.77,13801.07
挂件-k金ct,,140.83,141,141,0.17,13801.24
尼泊尔-蓝钢,久经沙场,1686,1695,1695,9,13810.24
运动手套-双栖,破损不堪,3400,3430,3430,30,13840.24
ak47-传承,久经沙场,741,763,755.37,14.37,13854.61
摩托手套-清凉薄荷,久经沙场,3366,3330,3330,-36,13818.61
m4a4-荷鲁斯之眼,久经沙场,1451,1445,1445,-6,13812.61
弯刀-多普勒（红宝石）,崭新出厂,7290,7480,7405.2,115.2,13927.81
蝴蝶刀-表面淬火,战痕累累,7200,7390,7242.2,42.2,13970.01
挂件-k金t,,277,250,248,-29,13941.01
挂件-k金t,,276,270,268,-8,13933.01
专业手套-深红之网,久经沙场,1850,1920,1920,70,14003.01
挂件-k金t,,290,310,306.9,16.9,14019.91
爪子刀-噩梦之夜,略有磨损,6890,7000,7000,110,14129.91
挂件-k金ct,,128,118,116.82,-11.18,14118.73
挂件-k金t,,239,255,252.45,13.45,14132.18
挂件-k金ct,,128,113,112,-16,14116.18
摩托手套-清凉薄荷,久经沙场,3274,3740,3702.6,428.6,14544.78
蝴蝶刀-自动化,战痕累累,8900,9600,9504,604,15148.78
mp9-latte rush,久经沙场,163,157,155.43,-7.57,15141.21
沙漠之鹰-沙漠之狐,久经沙场,1832,1950,1930.5,98.5,15239.71
mp9-latte rush,久经沙场,134,140,138.6,4.6,15244.31
蝴蝶刀-自动化,战痕累累,8835,9997,9797.06,962.06,16206.37
沙漠之鹰-沙漠之狐,久经沙场,1159.5,1180,1168.2,8.7,16215.07
摩托手套-boom,久经沙场,1328,2000,1910,582,16797.07
加利尔-彩虹勺,久经沙场,345,350,346.5,1.5,16798.57
awp-印花集,久经沙场,664,689,710.91,46.91,16845.48
尼泊尔-枯焦之色,久经沙场,1044,1090,1079.1,35.1,16880.58
蝴蝶刀-大马士革钢,破损不堪,8517,8550,8550,33,16913.58
沙漠之鹰-沙漠之狐,战痕累累,829,900,882,53,16966.58
mp9-latte rush,久经沙场,104,139,137.61,33.61,17000.19
尼泊尔-枯焦之色,破损不堪,855,920,910.8,55.8,17055.99
摩托手套-小心烟雾弹,久经沙场,1200,1250,1237.5,37.5,17093.49
awp-锦虎,崭新出厂,2200,1700,1745.5,-454.5,16638.99
awp-印花集,崭新出厂,2563,2660,2633.4,70.4,16709.39
鲍伊猎刀-自动化,崭新出厂,3400,5932,5813.36,2413.36,19122.75
流浪者匕首-致命紫罗兰,久经沙场,1785,1870,1851.3,66.3,19189.05
沙漠之鹰-沙漠之狐,崭新出厂,2700,2850,2793,93,19282.05
尼泊尔-表面淬火,略有磨损,2768,2871,2813.58,45.58,19327.63
蝴蝶刀-大马士革钢,久经沙场,8399,8890,8801.1,402.1,19729.73
弯刀-黑色层压板,略有磨损,975,1000,990,15,19744.73
系绳匕首-深红之网,久经沙场,1200,1250,1237.5,37.5,19782.23
mp9-latte rush,久经沙场,117,150,148.5,31.5,19813.73
摩托手套-清凉薄荷,破损不堪,2450,2765,2737.35,287.35,20101.08
sg553-电子脉冲,略有磨损,39.1,53,52.47,13.37,20114.45
蝴蝶刀-自动化（st）,战痕累累,8130,8693,8519.14,389.14,20503.59
沙漠之鹰-沙漠之狐,略有磨损,1580,1799,1763.02,183.02,20686.61
加利尔-彩虹勺,久经沙场,301,317,313.83,12.83,20699.44
流浪者匕首-虎牙,崭新出厂,3511,3720,3682.8,171.8,20871.24
蝴蝶刀-表面淬火,破损不堪,7740,8506,8335.88,595.88,21467.12
m4a1-二号玩家（st）,略有磨损,669,700,693,24,21491.12
awp-镀铬大炮,久经沙场,179,191,189.09,10.09,21501.21
cz75-相柳（st）,略有磨损,178,210,207.9,29.9,21531.11
流浪者匕首-大马士革钢,崭新出厂,2365,2480,2455.2,90.2,21621.31
摩托手套-boom,久经沙场,1410,1500,1485,75,21696.31
摩托手套-清凉薄荷,破损不堪,2625,2800,2744,119,21815.31
流浪者匕首-多普勒,崭新出厂,6600,7050,6979.5,379.5,22194.81
流浪者匕首-虎牙,崭新出厂,3540,3675,3638.25,98.25,22293.06
尼泊尔-表面淬火,破损不堪,1620,1852,1814.96,194.96,22488.02
加利尔-彩虹勺,久经沙场,301,349,345.51,44.51,22532.53
弯刀-都市伪装,久经沙场,930,985,975.15,45.15,22577.68
骷髅匕首-渐变大理石,崭新出厂,6950,7080,7009.2,59.2,22636.88
usp-猎户,略有磨损,390,394,394,4,22640.88
蝴蝶刀-表面淬火,破损不堪,7829,7900,7900,71,22711.88
刺刀-表面淬火,略有磨损,3070,3070,3070,0,22711.88
流浪者匕首-致命紫罗兰,久经沙场,1877,1915,1895.85,18.85,22730.73
mp9-latte rush,久经沙场,128,160,156.8,28.8,22759.53
m4a4-合纵,久经沙场,210,199,196,-14,22745.53
mac-10-潜行者,久经沙场,94.7,105,102.9,8.2,22753.73
法玛斯-纪念碑,久经沙场,54.2,53.1,52.569,-1.63,22752.1
cz75-相柳,久经沙场,71,108,106.92,35.92,22788.02
蝴蝶刀-表面淬火,久经沙场,8130,8617,8444.66,314.66,23102.68
awp-印花集,久经沙场,606,630,623.7,17.7,23120.38
awp-印花集,久经沙场,607,630,623.7,16.7,23137.08
弯刀-澄澈之水,久经沙场,1030,1100,1089,59,23196.08
熊刀-大马士革钢,久经沙场,1130,1220,1207.8,77.8,23273.88
m4a4-龙王,崭新出厂,233,290,287.1,54.1,23327.98
awp-印花集,久经沙场,610,624,617.76,7.76,23335.74
摩托手套-清凉薄荷,破损不堪,2699,2960,2930.4,231.4,23567.14
cz75-相柳,略有磨损,114,175,173.25,59.25,23626.39
mp9-latte rush,久经沙场,135,165,163.35,28.35,23654.74
m4a4-合纵,久经沙场,210,258,255.42,45.42,23700.16
熊刀-夜色,久经沙场,1082,1108,1096.92,14.92,23715.08
海豹短刀-枯焦之色,久经沙场,1113,1180,1168.2,55.2,23770.28
海豹短刀-枯焦之色,久经沙场,1114,1175,1163.25,49.25,23819.53
弯刀-澄澈之水,久经沙场,1037,1090,1079.1,42.1,23861.63
尼泊尔-都市伪装,略有磨损,1118,1190,1178.1,60.1,23921.73
摩托手套-清凉薄荷,破损不堪,2888,3500,3377.88,489.88,24411.61
蝴蝶刀-表面淬火,破损不堪,8097,8180,8098.2,1.2,24412.81
mp9-latte rush,久经沙场,157,163.3,160.034,3.03,24415.84
尼泊尔-人工染色,崭新出厂,2588,2695,2641.1,53.1,24468.94
m4a4-合纵,久经沙场,227,266,263.34,36.34,24505.28
尼泊尔-表面淬火,久经沙场,2120,2250,2205,85,24590.28
蝴蝶刀-表面淬火,破损不堪,10200,10946,10727.08,527.08,25117.36
尼泊尔-人工染色,略有磨损,1233,1233,1220.67,-12.33,25105.03
m4a4-地狱烈焰（st）,崭新出厂,1500,1580,1564.2,64.2,25169.23
m4a4-合纵,久经沙场,269,390,382.2,113.2,25282.43
骷髅,崭新出厂,9500,9730,9632.7,132.7,25415.13
,,,,,0,25415.13
,,,,,0,25415.13